row,col,expected,actual,file
10160,NA,22 columns,25 columns,literal data
10161,DATE,date like ,2,literal data
10161,TIME,time like ,in,literal data
10161,H2O,a double,"wetl""",literal data
10161,CO2,no trailing characters,2023-07-19,literal data
10161,CH4,no trailing characters,15:14:55,literal data
10161,NA,22 columns,25 columns,literal data
10162,DATE,date like ,2,literal data
10162,TIME,time like ,in,literal data
10162,H2O,a double,"wetl""",literal data
10162,CO2,no trailing characters,2023-07-19,literal data
10162,CH4,no trailing characters,15:14:56,literal data
10162,NA,22 columns,25 columns,literal data
10163,DATE,date like ,2,literal data
10163,TIME,time like ,in,literal data
10163,H2O,a double,"wetl""",literal data
10163,CO2,no trailing characters,2023-07-19,literal data
10163,CH4,no trailing characters,15:14:57,literal data
10163,NA,22 columns,25 columns,literal data
10164,DATE,date like ,2,literal data
10164,TIME,time like ,in,literal data
10164,H2O,a double,"wetl""",literal data
10164,CO2,no trailing characters,2023-07-19,literal data
10164,CH4,no trailing characters,15:14:58,literal data
10164,NA,22 columns,25 columns,literal data
10165,DATE,date like ,2,literal data
10165,TIME,time like ,in,literal data
10165,H2O,a double,"wetl""",literal data
10165,CO2,no trailing characters,2023-07-19,literal data
10165,CH4,no trailing characters,15:14:59,literal data
10165,NA,22 columns,25 columns,literal data
10166,DATE,date like ,2,literal data
10166,TIME,time like ,in,literal data
10166,H2O,a double,"wetl""",literal data
10166,CO2,no trailing characters,2023-07-19,literal data
10166,CH4,no trailing characters,15:15:00,literal data
10166,NA,22 columns,25 columns,literal data
10167,DATE,date like ,2,literal data
10167,TIME,time like ,in,literal data
10167,H2O,a double,"wetl""",literal data
10167,CO2,no trailing characters,2023-07-19,literal data
10167,CH4,no trailing characters,15:15:01,literal data
10167,NA,22 columns,25 columns,literal data
10168,DATE,date like ,2,literal data
10168,TIME,time like ,in,literal data
10168,H2O,a double,"wetl""",literal data
10168,CO2,no trailing characters,2023-07-19,literal data
10168,CH4,no trailing characters,15:15:02,literal data
10168,NA,22 columns,25 columns,literal data
10169,DATE,date like ,2,literal data
10169,TIME,time like ,in,literal data
10169,H2O,a double,"wetl""",literal data
10169,CO2,no trailing characters,2023-07-19,literal data
10169,CH4,no trailing characters,15:15:03,literal data
10169,NA,22 columns,25 columns,literal data
10170,DATE,date like ,2,literal data
10170,TIME,time like ,in,literal data
10170,H2O,a double,"wetl""",literal data
10170,CO2,no trailing characters,2023-07-19,literal data
10170,CH4,no trailing characters,15:15:04,literal data
10170,NA,22 columns,25 columns,literal data
10171,DATE,date like ,2,literal data
10171,TIME,time like ,in,literal data
10171,H2O,a double,"wetl""",literal data
10171,CO2,no trailing characters,2023-07-19,literal data
10171,CH4,no trailing characters,15:15:05,literal data
10171,NA,22 columns,25 columns,literal data
10172,DATE,date like ,2,literal data
10172,TIME,time like ,in,literal data
10172,H2O,a double,"wetl""",literal data
10172,CO2,no trailing characters,2023-07-19,literal data
10172,CH4,no trailing characters,15:15:06,literal data
10172,NA,22 columns,25 columns,literal data
10173,DATE,date like ,2,literal data
10173,TIME,time like ,in,literal data
10173,H2O,a double,"wetl""",literal data
10173,CO2,no trailing characters,2023-07-19,literal data
10173,CH4,no trailing characters,15:15:07,literal data
10173,NA,22 columns,25 columns,literal data
10174,DATE,date like ,2,literal data
10174,TIME,time like ,in,literal data
