Model:	LI-7810
SN:	TG10-01563
Software Version:	2.3.8
Timestamp:	2023-07-19 12:23:33
Timezone:	US/Eastern
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1689783813	673926115	0	256	""	2023-07-19	12:23:33	nan	nan	nan	101.38	21.7076	100.964	24.3409	0	0	21.1251	0	0	14.8194	250
DATA	1689783814	73905944	0	256	""	2023-07-19	12:23:34	nan	nan	nan	101.38	21.7076	100.964	24.3409	0	0	21.1251	0	0	14.8194	205
DATA	1689783814	923872947	17	256	""	2023-07-19	12:23:34	nan	nan	nan	101.1	21.7076	100.685	24.3427	0	0	21.1251	-8000	0	14.8033	194
DATA	1689783815	923832893	21	256	""	2023-07-19	12:23:35	nan	nan	nan	100.855	21.7076	100.439	29.6159	0	0	21.1251	-16000	0	14.7797	113
DATA	1689783816	923789024	25	256	""	2023-07-19	12:23:36	nan	nan	nan	100.864	21.708	100.448	36.3857	0	0	21.1251	-16000	0	14.7833	 54
DATA	1689783817	923746109	29	256	""	2023-07-19	12:23:37	nan	nan	nan	100.866	21.7081	100.449	39.6438	0	0	21.1253	-16000	0	14.7876	119
DATA	1689783818	923746109	33	256	""	2023-07-19	12:23:38	nan	nan	nan	100.866	21.708	100.449	39.9811	0	0	21.1258	-16000	0	14.7911	 60
DATA	1689783819	923746109	37	256	""	2023-07-19	12:23:39	nan	nan	nan	100.866	21.7083	100.45	40.0979	0	0	21.1258	-16000	0	14.7935	 65
DATA	1689783820	923746109	41	256	""	2023-07-19	12:23:40	nan	nan	nan	100.867	21.7083	100.449	40.1535	0	0	21.1258	-16000	0	14.7947	 93
DATA	1689783821	923746109	45	256	""	2023-07-19	12:23:41	nan	nan	nan	100.866	21.7083	100.45	40.1884	0	0	21.1258	-16000	0	14.7935	 46
DATA	1689783822	923746109	49	256	""	2023-07-19	12:23:42	nan	nan	nan	100.867	21.7083	100.45	40.2112	0	0	21.1265	-16000	0	14.7943	 35
DATA	1689783823	923746109	53	256	""	2023-07-19	12:23:43	nan	nan	nan	100.867	21.7083	100.451	40.2271	0	0	21.1265	-16000	0	14.7935	 88
DATA	1689783824	923746109	57	256	""	2023-07-19	12:23:44	nan	nan	nan	100.867	21.7083	100.449	40.2382	0	0	21.1265	-16000	0	14.7935	104
DATA	1689783825	923424959	61	256	""	2023-07-19	12:23:45	nan	nan	nan	100.867	21.7083	100.451	40.2463	0	0	21.1267	-16000	0	14.7927	103
DATA	1689783826	923424959	65	256	""	2023-07-19	12:23:46	nan	nan	nan	100.867	21.7083	100.451	40.2524	0	0	21.1272	-16000	0	14.7931	 98
DATA	1689783827	923424959	69	256	""	2023-07-19	12:23:47	nan	nan	nan	100.868	21.7083	100.451	40.2568	0	0	21.1272	-16000	0	14.7919	119
DATA	1689783828	923424959	73	256	""	2023-07-19	12:23:48	nan	nan	nan	100.868	21.7083	100.451	40.2597	0	0	21.1272	-16000	0	14.7919	118
DATA	1689783829	923424959	77	256	""	2023-07-19	12:23:49	nan	nan	nan	100.868	21.7083	100.451	40.2624	0	0	21.1272	-16000	0	14.7919	115
